misc/nupdates,misc/total_timesteps,fps,eprewmean,loss/policy_entropy,loss/policy_loss,loss/value_loss
660,555240,995,-26.985090219999996,2.115729546546936,-0.001967622758820653,1.9740350663661956
680,572040,994,-26.229161440000002,2.127065110206604,-0.0011681552976369857,0.9984434962272644
700,588840,994,-27.501629279999996,2.0890591859817507,-0.0007140976376831532,1.8595899611711502
720,605640,994,-26.16467521,2.1175896644592287,-0.006961196195334196,0.63935806453228
740,622440,994,-26.94833329,2.1333024740219115,-0.001075032353401184,1.2279078662395477
760,639240,993,-23.785164280000004,2.116576910018921,-0.0008551441133022308,0.5380849093198776
780,656040,994,-25.897160500000005,2.1513564825057983,-0.0010831736028194428,2.4278176069259643
800,672840,994,-25.66573155,2.093288612365723,-0.0004846828058362007,1.688751405477524
820,689640,994,-26.281909980000002,2.1039960622787475,-0.00022791773080825805,5.971288365125656
840,706440,994,-24.644237310000005,2.133560562133789,-0.00020692944526672362,0.834900039434433
860,723240,994,-26.189552179999996,2.115278649330139,-0.0009678695350885391,1.454295778274536
880,740040,995,-25.266104090000002,2.0208674311637878,-0.0001885250210762024,1.645643711090088
900,756840,994,-25.973434819999998,2.0536226272583007,-0.0030685301870107652,3.067112135887146
920,773640,994,-23.675859159999995,2.0773069858551025,-0.0012552613159641623,1.8632479071617127
940,790440,994,-26.889113430000002,2.1160000801086425,-0.0011633936315774917,0.8564030349254608
960,807240,994,-24.77937014,2.109963893890381,0.00029401988722383977,2.616403967142105
980,824040,994,-25.386987529999995,2.086167812347412,-0.0016682801768183708,1.2955049097537994
1000,840840,994,-25.0148767,2.100633144378662,-0.0016673937439918517,0.7544388622045517
1020,857640,994,-27.44356398,2.0456145286560057,0.002168162912130356,3.2604292273521422
1040,874440,993,-24.433106599999995,2.079982566833496,-0.0011494729667901992,0.5732301205396653
1060,891240,993,-27.65763112,2.1104209661483764,-0.0011093441396951675,1.4212010771036148
1080,908040,993,-25.11439761,2.090561032295227,-0.0008466996252536774,7.000537574291229
1100,924840,992,-27.091573550000007,2.047868013381958,-0.00444906409829855,1.3263687998056413
1120,941640,992,-27.14502599,2.098289227485657,-0.0011637747287750245,1.5148115932941437
1140,958440,992,-25.042681169999994,2.04445366859436,-0.000990476133301854,1.1820849776268005
1160,975240,992,-25.480490340000003,2.088578295707703,-0.00011618286371231079,1.1377024099230766
1180,992040,992,-27.264082740000003,2.0618680715560913,-0.004780741408467293,1.2540443539619446
1200,1008840,993,-24.348202450000002,2.085313630104065,-0.00308389887213707,1.7026906073093415
1220,1025640,993,-24.684805179999994,2.066046118736267,-0.0001597881317138672,2.2336644768714904
1240,1042440,993,-25.718700799999997,2.0737681865692137,0.0003245812840759754,1.5187688291072845
1260,1059240,993,-26.194084040000007,2.087336707115173,-0.0006981134414672851,1.9918826699256897
1280,1076040,992,-24.34819259,2.0719616413116455,-0.00147857666015625,0.6386333614587784
1300,1092840,993,-23.799683289999997,2.0944838523864746,-5.948785692453384e-05,0.9065395176410675
1320,1109640,993,-22.820240469999998,2.076234292984009,-0.005007774382829666,1.7947136461734772
1340,1126440,993,-25.390439699999998,2.0824266195297243,-0.00029220953583717344,0.9415962517261505
1360,1143240,993,-27.085441330000002,1.9570450186729431,-0.001881120726466179,2.2311220169067383
1380,1160040,992,-26.69050656,2.0513298988342283,-0.0010845750570297242,1.5664857089519502
1400,1176840,992,-26.799713609999998,2.107002878189087,-0.003746923804283142,0.5195392310619354
1420,1193640,992,-26.175170950000005,2.0541069746017455,-0.0028875531628727914,1.011879137158394
1440,1210440,992,-27.172523349999995,2.118684673309326,0.0008419357240200043,1.313565081357956
1460,1227240,992,-27.005281580000005,2.058981943130493,-0.0018189860507845878,0.5139532446861267
1480,1244040,992,-27.15807853,2.0829255104064943,-0.0019904494285583494,1.8235411107540132
1500,1260840,992,-25.417983589999995,1.9700791716575623,-0.001822226122021675,1.384339165687561
1520,1277640,992,-27.398214580000005,1.9556740283966065,-0.0002719874493777752,0.7465165376663208
1540,1294440,991,-28.31221415,1.9806761622428894,-0.0023324355483055116,1.071501761674881
1560,1311240,991,-28.245571490000003,2.0141017556190492,-0.0006302956491708756,0.6411204963922501
1580,1328040,991,-25.59648576,2.0431452989578247,-0.0012160098645836114,1.4978544145822525
1600,1344840,991,-26.58608037,2.0068735480308533,-0.0011368952691555023,1.7731338918209076
1620,1361640,991,-27.638001340000006,1.9829475641250611,-0.002138500288128853,1.133623418211937
1640,1378440,992,-27.12872527,1.9913467764854431,-0.0013023234903812408,1.8065346360206604
1660,1395240,992,-27.379689459999998,2.0366773128509523,-0.0011686161160469055,0.8934765160083771
1680,1412040,992,-26.650765429999996,2.0070626020431517,-0.001622574031352997,4.869225895404815
1700,1428840,992,-26.0049365,1.9080922722816467,-0.0007871553301811218,1.626341712474823
1720,1445640,992,-28.46664805999999,1.941937756538391,-0.002459835261106491,1.5615787222981452
1740,1462440,992,-28.575309359999995,1.890014100074768,0.0026940880343317986,1.1537853598594665
1760,1479240,992,-28.032812729999993,1.7986334562301636,-0.0024390263482928277,0.6087075412273407
1780,1496040,992,-28.477071669999997,1.7779605746269227,-0.0010030643141362816,1.3598682284355164
1800,1512840,992,-27.2789941,1.8187345266342163,-0.0009381307114381343,2.061210012435913
1820,1529640,992,-27.128716740000005,1.9344101786613463,-0.002322641131468117,1.1238740146160127
1840,1546440,993,-25.944739099999996,1.9422980189323424,-0.000935172289609909,1.2331836938858032
1860,1563240,993,-27.663408670000003,1.8428694605827332,-0.0011223650268220807,1.5265264630317688
1880,1580040,993,-27.59545486,1.9600008249282836,-0.0026844279607757928,0.7085455596446991
1900,1596840,993,-27.26880972,1.9479294538497924,0.0009658251889050007,0.8665900006890297
1920,1613640,993,-25.8390843,2.0158188223838804,-0.0019209133461117744,1.862065201997757
1940,1630440,992,-25.533580519999997,1.890691912174225,0.0002653293311595917,1.9540991067886353
1960,1647240,992,-25.99367064,1.9704217910766602,-0.0003092061728239059,1.4076949954032898
1980,1664040,992,-24.539460549999998,1.9252804040908813,-0.0005769325885921717,2.2648431777954103
2000,1680840,992,-25.440361379999995,1.926383876800537,-0.00244296807795763,2.5650020837783813
2020,1697640,992,-24.171445999999996,1.8817683458328247,-0.00041067786514759064,0.6634966731071472
2040,1714440,992,-26.66603479000001,1.837175679206848,0.00012493915855884551,1.0668506979942323
2060,1731240,992,-29.125813220000005,1.837095057964325,-0.0008596006780862808,0.46239360272884367
2080,1748040,992,-26.50652828,1.9420998334884643,-0.001916225254535675,2.24222412109375
2100,1764840,992,-24.98631977,1.9927205204963685,-0.0026813846081495283,1.6409756362438201
2120,1781640,992,-24.330156169999995,1.9523169994354248,-0.002088524028658867,1.1502000451087953
2140,1798440,992,-24.844495139999996,1.9303410649299622,-0.0013935303315520287,1.0564815372228622
2160,1815240,992,-25.477533000000005,2.0437562227249146,-0.0028030529618263246,3.198132026195526
2180,1832040,992,-25.560282110000003,1.9465749382972717,-0.002075626701116562,1.0473680213093757
2200,1848840,992,-26.364905079999993,2.017727279663086,-0.0011171435005962848,3.9554799854755402
2220,1865640,992,-25.46958936,1.9961800813674926,-0.0008795373141765594,2.1620283484458924
2240,1882440,992,-28.220079329999997,1.914506232738495,-0.004294827580451965,2.7943865776062013
2260,1899240,992,-28.89225303000001,1.9281285285949707,-0.00017980840057134627,2.1774356245994566
2280,1916040,992,-27.167303899999997,1.9440889954566956,-0.0009990857914090156,2.809407317638397
2300,1932840,992,-27.315817649999996,1.8742316126823426,-0.00038669747300446033,1.350322961807251
2320,1949640,993,-28.34895939,1.9534512519836427,-0.0018541242927312851,0.5427864238619804
2340,1966440,993,-27.541043479999995,1.8690042734146117,-0.0009811244904994964,1.2702043652534485
2360,1983240,993,-28.267369990000002,1.8321828722953797,-0.001008454291149974,1.0595927596092225
2380,2000040,993,-27.036082180000005,1.9436991214752197,-0.0011784043163061142,0.7757672399282456
2400,2016840,993,-25.158719550000004,1.9426205039024353,-0.0010188991203904153,1.334086722135544
2420,2033640,993,-25.12238778,1.9477481722831727,-0.00033537987619638445,1.9621366500854491
2440,2050440,993,-25.757706599999995,1.9918964147567748,0.00010259561240673065,0.5457294762134552
2460,2067240,993,-25.84171739,1.9685009479522706,-0.0018408060073852538,0.8633266404271126
2480,2084040,993,-28.189942309999992,1.9438843607902527,-0.0016235204413533211,0.6434051483869553
2500,2100840,993,-30.26471438,1.9624365091323852,-0.0018584500998258592,0.5751671776175499
2520,2117640,993,-29.124756629999997,1.9655489802360535,-0.000838306825608015,1.4095767378807067
2540,2134440,993,-27.270034759999998,1.9866104602813721,-0.000564048532396555,1.314662265777588
2560,2151240,993,-25.521235830000006,1.9735133528709412,-0.0012310215272009373,1.8252566814422608
2580,2168040,993,-27.98326021999999,2.008473587036133,-0.0035391684621572496,0.5587568238377572
2600,2184840,993,-24.966431950000004,1.9896729588508606,-0.0013780221401248128,3.2177080631256105
2620,2201640,993,-25.04947937,1.987280511856079,-0.0012900836765766144,2.4414373874664306
2640,2218440,993,-23.370535189999995,1.9390076398849487,-0.0011877814307808877,1.4475547611713409
2660,2235240,993,-23.845694709999997,1.9963598728179932,0.0017747435718774795,2.420994508266449
2680,2252040,993,-26.30545624,1.9828058242797852,-0.001418827287852764,1.202423346042633
2700,2268840,993,-24.47038429,1.9766022205352782,-0.0007440444082021713,2.5108285188674926
2720,2285640,993,-25.559140660000004,1.9124269366264344,-0.0018351972103118896,1.5463899344205856
2740,2302440,993,-25.877932349999995,1.9165448307991029,-0.0009071057662367821,1.463118052482605
2760,2319240,993,-24.465765069999996,1.9638466954231262,0.0016273570246994496,1.588256722688675
2780,2336040,993,-24.01700792,1.949100625514984,-0.0019600536674261094,0.702659410238266
2800,2352840,993,-23.5133016,1.9560276389122009,-0.0018580392003059386,1.9382757782936095
2820,2369640,993,-22.674704540000008,1.9763699650764466,-0.0016391381621360778,1.7233864545822144
2840,2386440,993,-24.555470549999995,2.0027546286582947,-0.0008153226226568222,1.5890174150466918
2860,2403240,993,-24.618495579999998,1.8967371582984924,-0.0026961639523506165,0.9094454973936081
2880,2420040,993,-27.33516274,1.9034382462501527,-0.000996527448296547,3.0676533460617064
2900,2436840,993,-24.300627700000003,1.9035127878189086,-0.000744409766048193,1.4264704883098602
2920,2453640,994,-24.65246024,2.0048384308815,0.0002898178994655609,1.8121010780334472
2940,2470440,994,-24.612740839999994,1.8329453706741332,0.0011503353249281644,1.20314631909132
2960,2487240,994,-24.46138645,1.7910978317260742,-0.0006574779748916626,2.7382918775081633
2980,2504040,994,-24.08858305,1.9294380068778991,-0.0001672199694439769,1.3963375508785247
3000,2520840,994,-23.895770940000002,1.8381551384925843,-0.00048336628824472425,2.634590971469879
3020,2537640,994,-23.862505390000006,1.8369585871696472,-0.002009351016022265,1.2648856878280639
3040,2554440,994,-24.704756570000004,1.8585424423217773,-0.0009421780705451965,1.4345639526844025
3060,2571240,994,-22.64963301,1.7578293204307556,-0.0019193087704479695,1.7262714147567748
3080,2588040,994,-24.529246469999997,1.9489143013954162,-0.0018673229962587357,1.3048071563243866
3100,2604840,994,-25.587914499999997,1.9388030648231507,-0.001350945234298706,0.7346798151731491
3120,2621640,993,-26.286313029999995,1.8713147044181824,-0.004330561915412545,1.4469556778669357
3140,2638440,993,-24.04372533,1.961709988117218,-0.0023154283873736857,2.4146168708801268
3160,2655240,993,-26.166534440000007,1.9839582085609435,-0.0019888618495315312,1.6490692049264908
3180,2672040,993,-26.16661977,2.022129476070404,-0.0026404134929180144,0.9441563189029694
3200,2688840,993,-25.316923759999998,1.9910338163375854,-0.00026033855974674227,4.379651635885239
3220,2705640,993,-23.93285463,1.9772836446762085,-0.0016750970855355263,0.5360319510102272
3240,2722440,993,-24.03191406,1.997686219215393,-0.0021284135058522225,0.8042359232902527
3260,2739240,994,-25.54413368,1.9447194576263427,-0.0015613038092851638,2.0562604546546934
3280,2756040,994,-24.677909670000005,1.9548401713371277,-0.0002850570348527981,1.224595808982849
